     z                                 Umean                      Ruu                      Ruv                        Ruw                      Rvu                        Rvv                      Rvw                    Rwu                       Rwv                  Rww
3.220199223801234061e-05 0.000000000000000000e+00 1.509945016220431994e-34 -4.268949112896187956e-37 0.000000000000000000e+00 -4.268949112896187956e-37 2.849189461256958136e-34 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.566856533976261575e-05 1.774805217881393875e-03 8.605543116566327860e-07 -3.162104156277219568e-10 -1.387918594407002785e-11 -3.162104156277219568e-10 3.746967329811801929e-07 -5.750547022052637055e-16 -1.387918594407002785e-11 -5.750547022052637055e-16 5.924798420791516844e-15
1.004486318953290419e-04 8.362868077748256482e-03 1.761994934825564252e-05 -6.483773033609076994e-09 -1.379991698200202465e-09 -6.483773033609076994e-09 7.653607727724663423e-06 -5.844031222144081225e-14 -1.379991698200202465e-09 -5.844031222144081225e-14 2.914022597482739170e-12
1.365929361179496460e-04 2.364912946569727031e-02 1.239061496917682201e-04 -4.572397188586693333e-08 -2.513639201890771771e-08 -4.572397188586693333e-08 5.356511235654396982e-05 -1.111562127076789375e-12 -2.513639201890771771e-08 -1.111562127076789375e-12 1.418640616912279215e-10
1.741541175608940571e-04 5.227202197361312253e-02 5.511477692607369113e-04 -2.042766700050885677e-07 -2.215734050844331789e-07 -2.042766700050885677e-07 2.364677925463783224e-04 -1.041835641204293141e-11 -2.215734050844331789e-07 -1.041835641204293141e-11 2.477527645862212517e-09
2.131867766512551637e-04 9.965245964992425209e-02 1.889622176001491682e-03 -7.047932160413344330e-07 -1.327496471784807371e-06 -7.047932160413344330e-07 8.016396807946754490e-04 -6.716553687312875791e-11 -1.327496471784807371e-06 -6.716553687312875791e-11 2.500186919269094523e-08
2.537475420580337349e-04 1.719995851977397794e-01 5.442501202443179170e-03 -2.047873450595879580e-06 -6.256333594649466986e-06 -2.047873450595879580e-06 2.271034550830037732e-03 -3.430388311811412217e-10 -6.256333594649466986e-06 -3.430388311811412217e-10 1.817335785830444710e-07
2.958951399087439448e-04 2.763200937991422967e-01 1.378249123785756786e-02 -5.247276183485251872e-06 -2.484677377507531659e-05 -5.247276183485251872e-06 5.616647743659875652e-03 -1.475527761420703299e-09 -2.484677377507531659e-05 -1.475527761420703299e-09 1.053392803885128454e-06
3.396904648647258371e-04 4.199034711858972146e-01 3.145695609365480039e-02 -1.215331025382095618e-05 -8.570364382186724075e-05 -1.215331025382095618e-05 1.240970240444725682e-02 -5.426030128107578767e-09 -8.570364382186724075e-05 -5.426030128107578767e-09 5.044601283805949781e-06
3.851966530614192629e-04 6.077442889192927744e-01 6.536182503106893749e-02 -2.568189831889469777e-05 -2.592427499819659306e-04 -2.568189831889469777e-05 2.471770166748928077e-02 -1.689534659268808872e-08 -2.592427499819659306e-04 -1.689534659268808872e-08 2.011890559367953985e-05
4.324791569150376489e-04 8.426138384520460711e-01 1.248294360009181425e-01 -4.993107754621374034e-05 -6.947485259918256394e-04 -4.993107754621374034e-05 4.480084786659739582e-02 -4.417526564454842281e-08 -6.947485259918256394e-04 -4.417526564454842281e-08 6.758521763855211586e-05
4.816058217920060483e-04 1.127219768246451981e+00 2.219888359803394717e-01 -9.036258833676225630e-05 -1.675716230497400951e-03 -9.036258833676225630e-05 7.487843871065916201e-02 -9.684430634058862789e-08 -1.675716230497400951e-03 -9.684430634058862789e-08 1.952676285302744298e-04
